"","gpl","bioc_package","title"
"1","GPL32","mgu74a","[MG_U74A] Affymetrix Murine Genome U74A Array"
"2","GPL33","mgu74b","[MG_U74B] Affymetrix Murine Genome U74B Array"
"3","GPL34","mgu74c","[MG_U74C] Affymetrix Murine Genome U74C Array"
"4","GPL71","ag","[AG] Affymetrix Arabidopsis Genome Array"
"5","GPL72","drosgenome1","[DrosGenome1] Affymetrix Drosophila Genome Array"
"6","GPL74","hcg110","[HC_G110] Affymetrix Human Cancer Array"
"7","GPL75","mu11ksuba","[Mu11KsubA] Affymetrix Murine 11K SubA Array"
"8","GPL76","mu11ksubb","[Mu11KsubB] Affymetrix Murine 11K SubB Array"
"9","GPL77","mu19ksuba","[Mu19KsubA] Affymetrix Murine 19K SubA Array"
"10","GPL78","mu19ksubb","[Mu19KsubB] Affymetrix Murine 19K SubB Array"
"11","GPL79","mu19ksubc","[Mu19KsubC] Affymetrix Murine 19K SubC Array"
"12","GPL80","hu6800","[Hu6800] Affymetrix Human Full Length HuGeneFL Array"
"13","GPL81","mgu74av2","[MG_U74Av2] Affymetrix Murine Genome U74A Version 2 Array"
"14","GPL82","mgu74bv2","[MG_U74Bv2] Affymetrix Murine Genome U74B Version 2 Array"
"15","GPL83","mgu74cv2","[MG_U74Cv2] Affymetrix Murine Genome U74 Version 2 Array"
"16","GPL85","rgu34a","[RG_U34A] Affymetrix Rat Genome U34 Array"
"17","GPL86","rgu34b","[RG_U34B] Affymetrix Rat Genome U34 Array"
"18","GPL87","rgu34c","[RG_U34C] Affymetrix Rat Genome U34 Array"
"19","GPL88","rnu34","[RN_U34] Affymetrix Rat Neurobiology U34 Array"
"20","GPL89","rtu34","[RT_U34] Affymetrix Rat Toxicology U34 Array"
"21","GPL90","ygs98","[YG_S98] Affymetrix Yeast Genome S98 Array"
"22","GPL91","hgu95av2","[HG_U95A] Affymetrix Human Genome U95A Array"
"23","GPL92","hgu95b","[HG_U95B] Affymetrix Human Genome U95B Array"
"24","GPL93","hgu95c","[HG_U95C] Affymetrix Human Genome U95C Array"
"25","GPL94","hgu95d","[HG_U95D] Affymetrix Human Genome U95D Array"
"26","GPL95","hgu95e","[HG_U95E] Affymetrix Human Genome U95E Array"
"27","GPL96","hgu133a","[HG-U133A] Affymetrix Human Genome U133A Array"
"28","GPL97","hgu133b","[HG-U133B] Affymetrix Human Genome U133B Array"
"29","GPL98","hu35ksuba","[Hu35KsubA] Affymetrix Human 35K SubA Array"
"30","GPL99","hu35ksubb","[Hu35KsubB] Affymetrix Human 35K SubB Array"
